name,overdoses,population
Albany County,69,"306,691"
Allegany County,2,"46,286"
Broome County,70,"192,222"
Cattaraugus County,12,"76,748"
Cayuga County,27,"77,121"
Chautauqua County,41,"127,516"
Chemung County,20,"84,033"
Chenango County,11,"47,502"
Clinton County,10,"80,675"
Columbia County,8,"59,852"
Cortland County,9,"47,721"
Delaware County,9,"44,624"
Dutchess County,105,"293,814"
Erie County,228,"919,941"
Essex County,3,"37,309"
Franklin County,3,"50,325"
Fulton County,12,"53,654"
Genesee County,19,"57,509"
Greene County,14,"47,401"
Hamilton County,1,"4,453"
Herkimer County,12,"61,760"
Jefferson County,32,"112,266"
Lewis County,3,"26,503"
Livingston County,14,"63,281"
Madison County,10,"71,180"
Monroe County,232,"744,239"
Montgomery County,6,"49,502"
Nassau County,229,"1,357,423"
Niagara County,65,"210,300"
Oneida County,58,"229,431"
Onondaga County,134,"461,890"
Ontario County,14,"109,962"
Orange County,103,"382,411"
Orleans County,5,"40,708"
Oswego County,30,"117,520"
Otsego County,10,"59,828"
Putnam County,18,"98,871"
Rensselaer County,38,"159,452"
Rockland County,42,"325,656"
St. Lawrence County,14,"108,534"
Saratoga County,40,"230,127"
Schenectady County,28,"155,334"
Schoharie County,6,"31,182"
Schuyler County,0,"17,842"
Seneca County,3,"34,277"
Steuben County,13,"95,876"
Suffolk County,387,"1,482,275"
Sullivan County,48,"75,381"
Tioga County,6,"48,515"
Tompkins County,16,"102,382"
Ulster County,56,"178,510"
Warren County,16,"64,269"
Washington County,16,"61,335"
Wayne County,15,"90,110"
Westchester County,134,"968,928"
Wyoming County,7,"40,068"
Yates County,3,"24,959"
Bronx County,497,"1,432,316"
Kings County,397,"2,580,088"
New York County,325,"1,632,393"
Queens County,327,"2,275,286"
Richmond County,123,"476,531"